Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
UM 23-282444,Warrant,10/21/2023 0727,10/21/23,1 Washington Ave SE,Closed - Arrest
UM 23-282871,Missing Person,10/21/2023 0300,10/21/23,326 17th Ave SE,PRINTZ
UM 23-283212,Crisis Intervention,10/21/2023 2328,10/21/23,1048 27th Ave SE,Closed
UM 23-281354,Narcotics Violation / Flee Officer on Foot,10/20/2023 0342,10/20/23,321 19th Ave S,Closed - Arrest
UM 23-281403,Trespass,10/20/2023 0711,10/20/23,1300 2nd St S,Closed
UM 23-281267,Mysterious Disappearance,10/19/2023 2130,10/20/23,615 Fulton St SE,Closed
UM 23-281597,Theft from Building,10/20/2023 0100,10/20/23,614 Delaware St SE,Inactive
UM 23-281933,Auto Theft,10/20/2023 0820,10/20/23,401 Oak St SE,Inactive
UM 23-281965,Suicide / Crisis Intervention,10/20/2023 1835,10/20/23,Riverside Ave / 20th Ave S,Closed
UM 23-280919,Tamper with Motor Vehicle,10/19/2023 1637,10/19/23,420 25th Ave SE,PRINTZ
UM 23-280583,UM Parking Violation,10/19/2023 0944,10/19/23,515 15th Ave SE,Closed - Cited
UM 23-280643,Bike Theft,10/19/2023 1006,10/19/23,9 Pleasant St SE,Inactive
UM 23-280645,Bike Theft,10/19/2023 0800,10/19/23,321 19th Ave S,Inactive
UM 23-280660,Stalking,10/19/2023 1140,10/19/23,505 Washington Ave S,HUCK
UM 23-280732,Theft,10/18/2023 1500,10/19/23,717 Delaware St SE,Inactive
UM 23-280807,Theft,10/19/2023 1330,10/19/23,1994 Buford Ave,Inactive
UM 23-280949,Auto Theft,10/19/2023 1500,10/19/23,2001 Bloomington Ave S,CARLSON
UM 23-280980,Bike Theft,10/19/2023 1000,10/19/23,9 Pleasant St SE,Inactive
UM 23-281048,Theft,10/19/2023 1815,10/19/23,300 Washington Ave SE,Inactive
UM 23-279833,Damage to Motor Vehicle,10/18/2023 1140,10/18/23,222 Pleasant St SE,FARRAR
UM 23-279979,Theft from Building,10/18/2023 1513,10/18/23,269 19th Ave S,Inactive
UM 23-280060,Theft from Building / Identity Theft,10/18/2023 1320,10/18/23,420 Delaware St SE,THOMAS
UM 23-280091,Miscellaneous,10/18/2023 1734,10/18/23,311 Harvard St SE,Closed
UM 23-280113,Theft,10/18/2023 1000,10/18/23,200 Oak St SE,Inactive
UM 23-280221,Crisis Intervention,10/18/2023 2010,10/18/23,412 22nd Ave S,Closed
UM 23-279888,Bike Theft,10/10/2023 2300,10/18/23,412 22nd Ave S,HUCK
UM 23-278773,Auto Theft,10/15/2023 1800,10/17/23,420 25th Ave SE,Inactive
UM 23-278830,Driving After Suspension,10/17/2023 1001,10/17/23,1120 4th St SE,Closed - Cited
UM 23-278865,Bike Theft / Theft from Building,10/16/2023 0945,10/17/23,9 Pleasant St SE,CARLSON
UM 23-278963,Theft from Building,10/13/2023 1900,10/17/23,222 Pleasant St SE,Inactive
UM 23-279047,Bike Theft,10/16/2023 1100,10/17/23,412 22nd Ave S,Inactive
UM 23-279100,Crisis Intervention,10/17/2023 1515,10/17/23,412 22nd Ave S,Closed
UM 23-277861,Bike Theft,10/15/2023 2030,10/16/23,516 Delaware St SE,Inactive
UM 23-277942,Damage to Property-Graffitti,10/10/2023 0900,10/16/23,1300 2nd St S,FARRAR
UM 23-277954,Assault,10/16/2023 0810,10/16/23,1625 4th St SE,CARLSON
UM 23-277963,Theft,10/16/2023 0900,10/16/23,Fairview Ave N / Larpenteur Ave,THOMAS
,,W,
UM 23-278112,Damage to Property-Graffitti,10/16/2023 1328,10/16/23,1964 Fitch Ave,Inactive
UM 23-278113,Damage to Property-Graffitti,10/16/2023 1334,10/16/23,300 Washington Ave SE,THOMAS
UM 23-276934,Crisis Intervention / Health Welfare Hold / Use,10/15/2023 0143,10/15/23,1 East River Pkwy,CARLSON
,of Force,,
UM 23-277006,Miscellaneous,10/15/2023 0320,10/15/23,1224 Gibbs Ave,Closed
UM 23-277046,Warrant,10/15/2023 0520,10/15/23,319 19th Ave S,Closed - Arrest
UM 23-277089,Hit/Run Property Damage,10/14/2023 1830,10/15/23,601 Delaware St SE,THOMAS
UM 23-277181,Miscellaneous,10/15/2023 1045,10/15/23,516 Delawares St SE,Closed
UM 23-277200,Mysterious Disappearance,10/14/2023 1800,10/15/23,412 22nd Ave S,Closed
UM 23-277272,Hit/Run Property Damage,10/11/2023 2200,10/15/23,1015 Essex St SE,Closed
UM 23-275190,Trespass,10/13/2023 0609,10/13/23,89 Church St SE,Closed - Arrest
UM 23-275280,Warrant,10/13/2023 0941,10/13/23,2515 University Ave SE,Closed - Arrest
UM 23-275588,Health Welfare Hold / Crisis Intervention,10/13/2023 1705,10/13/23,1 East River Pkwy,Closed
UM 23-275684,Warrant,10/13/2023 1835,10/13/23,551 Washington Ave SE,THOMAS
UM 23-275807,Recovered Property,10/13/2023 1830,10/13/23,84 Church St SE,Closed
UM 23-275323,Health Welfare Hold,10/13/2023 1058,10/13/23,2515 University Ave SE,Closed
UM 23-274350,Motor Vehicle Accident Damage,10/12/2023 0900,10/12/23,University Ave SE / 16th Ave SE,Closed - Cited
UM 23-274507,Motor Vehicle Accident Damage,10/12/2023 1225,10/12/23,1985 Buford Ave,Closed
UM 23-274943,Damage to Property-Graffitti,10/12/2023 2027,10/12/23,269 19th Ave S,PRINTZ
UM 23-273233,Trespass,10/11/2023 0114,10/11/23,615 Fulton St SE,Inactive
UM 23-273336,Bike Theft / Theft from Person,10/11/2023 0558,10/11/23,412 22nd Ave S,FARRAR
UM 23-273467,Driving After Revocation,10/11/2023 1102,10/11/23,Washington Ave SE / Walnut St,Closed - Cited
,,SE,
UM 23-273548,Miscellaneous,10/11/2023 1234,10/11/23,117 Pleasant St SE,Closed
UM 23-273962,Driving After Cancellation,10/11/2023 1942,10/11/23,500 Harvard St SE,Closed - Cited
UM 23-273032,Theft,10/10/2023 1730,10/10/23,321 19th Ave S,Inactive
UM 23-272420,Burglary of Business,10/04/2023 0800,10/10/23,2030 University Ave SE,Inactive
UM 23-272494,Burglary of Business,09/25/2023 0700,10/10/23,1985 Buford Ave,Inactive
UM 23-272730,Theft,10/05/2023 1315,10/10/23,2009 University Ave SE,Inactive
UM 23-272977,Bike Theft,10/07/2023 1552,10/10/23,417 Walnut St SE,HUCK
UM 23-273183,Bike Theft,10/10/2023 2000,10/10/23,300 Washington Ave SE,Inactive
UM 23-273195,Recovered Vehicle,10/10/2023 2349,10/10/23,1625 4th St SE,Jurisdiction Transfer
UM 23-268928,Bike Theft,10/03/2023 0700,10/09/23,326 17th Ave SE,Inactive
UM 23-271833,Bike Theft,10/07/2023 1137,10/09/23,123 Harvard St SE,CARLSON
UM 23-271914,Mysterious Disappearance,10/06/2023 1800,10/09/23,417 Walnut St SE,Closed
UM 23-272126,Package Theft,10/09/2023 1113,10/09/23,220 Delaware St SE,HUCK
UM 23-272246,Crisis Intervention / Health Welfare Hold,10/09/2023 2332,10/09/23,1 Washington Ave SE,Closed
UM 23-271623,Bike Theft,10/08/2023 2130,10/09/23,614 Delaware St SE,HUCK
UM 23-271660,Bike Theft,10/07/2023 1200,10/09/23,207 Pleasant St SE,Inactive
UM 23-271728,Burglary of Business,10/09/2023 0248,10/09/23,401 Oak St SE,THOMAS
UM 23-270275,Non-Vehicular Accident,10/07/2023 1832,10/09/23,2009 University Ave SE,Closed
UM 23-270585,DWI-Refuse Drug and Alcohol Test / Motor,10/07/2023 2345,10/08/23,E Hennepin Ave / Stinson Blvd NE,LAPP
,Vehicle Accident Damage Report,,
UM 23-270792,Possession of Burglary Tools,10/08/2023 0701,10/08/23,614 Delaware St SE,LAPP
UM 23-271080,Theft,10/08/2023 1510,10/08/23,84 Church St SE,Inactive
UM 23-271330,Bike Theft,10/08/2023 1500,10/08/23,400 21st Ave S,THOMAS
UM 23-269711,Driving While Intoxicated,10/07/2023 0121,10/07/23,18th Ave SE / University Ave SE,LAPP
UM 23-269760,Driving While Intoxicated / Motor Vehicle,10/07/2023 0239,10/07/23,689 23rd Ave SE,HUCK
,Accident Damage Report / MPD Squad,,
,Accident,,
UM 23-270446,Non-Vehicular Accident,10/07/2023 2146,10/07/23,2009 University Ave SE,Closed
UM 23-270539,Theft from Motor Vehicle,10/07/2023 1530,10/07/23,80 Church St SE,CARLSON
UM 23-270083,Health Welfare Hold,10/07/2023 1258,10/07/23,1923 Unviersity Ave SE,Closed
MP 23-268537,Assault,10/5/2023 18:52,10/06/23,2312 6th St S,MPD
MP 23-268471,Assault,10/5/2023 13:00,10/06/23,2450 Riverside Ave,MPD
UM 23-268931,Motor Vehicle Accident Injury Report,10/06/2023 0850,10/06/23,72 Pleasant St SE,Closed
UM 23-269167,Bike Theft,09/30/2023 1830,10/06/23,123 Harvrad St SE,Inactive
UM 23-269236,Bike Theft,10/06/2023 1000,10/06/23,110 Union St SE,Inactive
UM 23-269393,Theft,10/06/2023 1530,10/06/23,300 Washington Ave SE,Inactive
UM 23-269482,Trespass / Warrant,10/06/2023 2217,10/06/23,39029th Ave SE,Closed - Arrest
MP 23-712176,Bike Theft,10/2/2023 11:15,10/05/23,412 22nd Ave S,MPD
MP 23-712174,Bike Theft,10/1/2023 10:15,10/05/23,324 Harvard St SE,MPD
MP 23-712090,Theft of Motor Vehicle Parts,9/29/2023 10:07,10/05/23,909 Fulton St SE,MPD
MP 23-266709,Disorderly Conduct,10/3/2023 22:30,10/05/23,Huron Blvd SE & Washington Ave,MPD
,,SE,
UM 23-268176,Bike Theft,10/03/2023 2200,10/05/23,1122 University Ave SE,Inactive
UM 23-268314,Miscellaneous,10/05/2023 1540,10/05/23,515 Delaware St SE,Closed
UM 23-268349,Damage to Motor Vehicle,10/05/2023 0600,10/05/23,1800 University Ave SE,Inactive
UM 23-268409,False Name or Info / Warrant,10/05/2023 1720,10/05/23,921 17th Ave SE,Closed - Arrest
UM 23-268484,Miscellaneous,10/05/2023 1815,10/05/23,500 Harvard St SE,Closed
UM 23-268719,Non-Vehicular Accident,10/05/2023 2234,10/05/23,417 Walnut St SE,Closed
UM 23-268727,Possess False/ Alt Driver's License / Consume,10/05/2023 2253,10/05/23,501 Washington Ave SE,Closed - Cited
,Liquor by Minor,,
UM 23-267055,Bike Theft,10/04/2023 0352,10/04/23,614 Delaware St SE,HUCK
UM 23-267063,Crisis Intervention / Use of Force,10/04/2023 1036,10/04/23,909 Fulton St SE,Closed
UM 23-267178,Recovered Property,10/04/2023 1315,10/04/23,Washington Ave SE / Walnut St,Closed
,,SE,
UM 23-267181,Damage to Property,09/30/2023 1200,10/04/23,425 Erie St SE,Inactive
UM 23-267245,Warrant,10/04/2023 1359,10/04/23,13th Ave SE / University Ave SE,Closed
UM 23-267287,Mysterious Disappearance,10/03/2023 1400,10/04/23,689 23rd Ave SE,Inactive
UM 23-267400,No Proof of Insurance,10/04/2023 1647,10/04/23,2200 Como Ave SE,Closed - Cited
UM 23-267540,Non- Vehicular Accident,10/04/2023 1912,10/04/23,1250 Fifield Ave,Closed
UM 23-267550,Trespass,10/04/2023 1932,10/04/23,412 22nd Ave SE,Closed - Cited
UM 23-267697,Assault w/dangerous weapon,10/04/2023 2238,10/04/23,420 Washington Ave SE,CARLSON
UM 23-266697,Motor Vehicle Accident Damage Report,10/03/2023 0040,10/03/23,501 Washington Ave SE,Closed
UM 23-266248,Mysterious Disappearance,09/30/2023 1100,10/03/23,420 23rd Ave SE,Closed
UM 23-266297,Bike Theft,10/03/2023 0945,10/03/23,110 Union St SE,Closed
UM 23-266313,Theft,10/03/2023 0950,10/03/23,1000 University Ave SE,Closed
UM 23-266524,Trespass,10/03/2023 1838,10/03/23,300 Washington Ave SE,Closed
UM 23-266656,Warrant,10/03/2023 2111,10/03/23,2001 Bloomington Ave,Closed - Arrest
MP 23-261127,Sexual Assault,10/2/2023 11:44,10/02/23,2450 Riverside Ave S,MPD
MP 23-260238,Assault,9/26/2023 16:30,10/02/23,2414 7th St S,MPD
MP 23-712055,Theft from Motor Vehicle,10/1/2023 8:30,10/02/23,550 East River Pkwy,MPD
MP 23-711886,Bike Theft,9/26/2023 20:00,10/02/23,116 Church St SE,MPD
MP 23-711861,Bike Theft,9/26/2023 22:50,10/02/23,315 19th Ave SE,MPD
MP 23-711983,Theft of Motor Vehicle Parts,9/28/2023 17:00,10/02/23,11th Ave SE & 6th St SE,MPD
UM 23-265660,Motor Vehicle Accident Injury Report /,10/02/2023 2019,10/02/23,University Ave SE / Walnut St SE,Closed - Cited
,Careless Driving,,
UM 23-265003,Bike Theft,02/03/2023 0100,10/02/23,412 22nd Ave S,HUCK
UM 23-265073,Auto Theft,10/02/2023 0930,10/02/23,1100 Washington Ave S,FARRAR
UM 23-265087,Hit/Run Property Damage,10/02/2023 0000,10/02/23,1625 4th St SE,Inactive
UM 23-265122,Trespass,10/02/2023 1030,10/02/23,615 Fulton St SE,Closed - Cited
UM 23-265330,Motor Vehicle Accident Damage Report,10/02/2023 1330,10/02/23,326 17th Ave SE,Inactive
UM 23-265485,Mysterious Disappearance,09/30/2023 1220,10/02/23,210 Delaware St SE,Closed
UM 23-265521,Burglary of Business / Trespass,10/02/2023 1751,10/02/23,117 Pleasant St SE,THOMAS
UM 23-265442,Recovered Gun,10/02/2023 1632,10/02/23,401 Oak St SE,Closed
UM 23-265677,Recovered Property,10/02/2023 1700,10/02/23,Pleasant St SE / Pillsbury Dr SE,Closed
UM 23-264006,Warrant,10/01/2023 0251,10/01/23,390 29th Ave SE,Closed - Arrest
UM 23-264046,Warrant,10/01/2023 0359,10/01/23,615 Fulton St SE,Closed - Arrest
UM 23-264625,Bike Theft,10/01/2023 0927,10/01/23,220 Delaware St SE,HUCK
UM 23-262782,Miscellaneous,09/29/2023 2330,09/30/23,401 Oak St SE,Closed
UM 23-263221,Other Improvised Weapon,09/30/2023 1200,09/30/23,2009 University Ave SE,Closed - Arrest
UM 23-263296,Health Welfare Hold,09/30/2023 1335,09/30/23,401 Oak St SE,Closed
UM 23-263578,Non- Vehicular Accident,09/30/2023 1838,09/30/23,Unviersity Ave SE / Walnut St SE,Closed
UM 23-263660,Motor Vehicle Accident Damage Report,09/30/2023 1955,09/30/23,15th Ave SE / 8th St SE,Closed
UM 23-263746,Motor Vehicle Accident Injury Report,09/30/2023 2144,09/30/23,1212 University Ave SE,Closed
UM 23-263623,Health Welfare Hold,09/30/2023 1918,09/30/23,1625 4th St SE,Closed
UM 23-262065,Warrant,09/29/2023 1050,09/29/23,2009 University Ave SE,Closed - Arrest
UM 23-262299,Bike Theft,09/29/2023 1000,09/29/23,206 Church St SE,CARLSON
UM 23-262348,Possession of Burgarly Tools,09/29/2023 1634,09/29/23,1815 4th St SE,CARLSON
UM 23-262295,Mysterious Disappearance,09/22/2023 1545,09/29/23,515 Delaware St SE,Closed
UM 23-262326,Mysterious Disappearance,09/29/2023 1547,09/29/23,100 Church St SE,Closed
UM 23-262604,Theft,09/29/2023 1800,09/29/23,412 22nd Ave S,HUCK
UM 23-257145,No Valid Driver's License,09/24/2023 0108,09/28/23,1901 University Ave SE,Closed - Cited
UM 23-261259,Bike Theft,09/25/2023 0800,09/28/23,321 19th Ave S,FARRAR
UM 23-261350,Mysterious Disappearance,09/28/2023 1100,09/28/23,116 Church St SE,Closed
UM 23-261403,Bike Theft,09/27/2023 1930,09/28/23,417 Walnut St SE,HUCK
UM 23-261405,Theft,09/28/2023 1100,09/28/23,500 Pillsbury Dr SE,Closed
UM 23-261468,Bike Theft,09/27/2023 1800,09/28/23,1122 University Ave SE,HUCK
UM 23-261494,Bike Theft,09/28/2023 1250,09/28/23,225 19th Ave S,Closed
UM 23-261496,Trespass,09/28/2023 1815,09/28/23,200 Oak St SE,Closed
UM 23-261634,Non- Vehicular Accident,09/28/2023 2055,09/28/23,600 25th Ave SE,Closed
UM 23-261337,Theft from Motor Vehicle,09/28/2023 0615,09/28/23,401 Oak St SE,Inactive
UM 23-260069,Motor Vehicle Accident Damage Report,09/27/2023 0850,09/27/23,1180 Ray Place,Closed
UM 23-260147,Bike Theft,09/27/2023 0955,09/27/23,200 Union St SE,Inactive
UM 23-260163,Mysterious Disappearance,04/10/2023 1657,09/27/23,1445 Gortner Ave,Closed
UM 23-260214,Theft,09/26/2023 1800,09/27/23,269 19th Ave S,CARLSON
UM 23-260380,Health Welfare Hold,09/27/2023 1512,09/27/23,1 Washington Ave SE,Closed
UM 23-260366,Damage to Motor Vehicle,09/23/2023 1200,09/27/23,1458 Cleveland Ave N,Inactive
UM 23-258928,Trespass,09/25/2023 2336,09/26/23,1458 Cleveland Ave N,Closed
UM 23-259109,Miscellaneous,09/25/2023 1515,09/26/23,1333 Gortner Ave,Closed
UM 23-259248,Damage to Property,09/26/2023 1030,09/26/23,412 22nd Ave SE,HUCK
UM 23-259386,Cancelled IPS,09/26/2023 1318,09/26/23,1320 4th St SE,HUCK
UM 23-259397,Auto Theft,09/26/2023 1134,09/26/23,300 19th Ave S,FARRAR
UM 23-259494,Hit/Run Property Damage,09/26/2023 1530,09/26/23,601 Delaware St SE,THOMAS
UM 23-259508,Package Theft,09/25/2023 1811,09/26/23,1291 Fifield Place,Case Continued
UM 23-259071,Trespass,09/26/2023 0730,09/26/23,257 19th Ave S,Closed
UM 23-259810,Crisis Intervention / Health Welfare Hold,09/26/2023 2239,09/26/23,412 22nd Ave S,Closed
UM 23-259771,Warrant,09/26/2023 2118,09/26/23,390 29th Ave SE,Closed - Arrest
UM 23-258081,Suicide / Health Welfare Hold,09/25/2023 0102,09/25/23,1 Washington Ave SE,Closed
MP 23-711522,Bike Theft,9/20/2023 12:10,09/25/23,100 Union St SE,MPD
MP 23-711689,Bike Theft,9/24/2023 23:05,09/25/23,Church St SE & Pillsbury Dr SE,MPD
MP 23-711501,Hit and Run-Property Damage,9/20/2023 13:30,09/25/23,13th Ave SE & University Ave SE,MPD
MP 23-711630,Bike Theft,9/21/2023 22:00,09/25/23,701 15th Ave SE,MPD
MP 23-711677,Bike Theft,9/19/2023 23:00,09/25/23,326 17th Ave SE,MPD
UM 23-258411,Burglary of Business,09/22/2023 0130,09/25/23,2030 University Ave SE,THOMAS
UM 23-258470,Damage to Motor Vehicle,09/18/2023 1000,09/25/23,385 E River Pkwy,Inactive
UM 23-258346,Bike Theft,09/23/2023 0552,09/25/23,1068 27th Ave,Closed
UM 23-257091,Warrant,09/23/2023 2344,09/24/23,1061 29th Ave SE,Closed - Arrest
UM 23-257167,Criminal Sexual Conduct - Rape,12/02/2022 2330,09/24/23,1122 University Ave SE,FARRAR
UM 23-257177,Non-Vehicular Accident,09/24/2023 0146,09/24/23,123 Harvard St SE,Closed
UM 23-257328,Miscellaneous,09/24/2023 0000,09/24/23,326 17th Ave SE,Closed
UM 23-257377,Register Sex Offender / Warrant,09/24/2023 0955,09/24/23,80 Church St SE,THOMAS
UM 23-257413,Suicide,09/24/2023 0700,09/24/23,701 Fulton St SE,Closed
UM 23-257500,Damage to Property,09/23/2023 1200,09/24/23,417 Walnut St SE,HUCK
UM 23-256099,Harass / Health Welfare Hold,09/22/2023 2339,09/23/23,326 17th Ave SE,Closed
UM 23-256193,Cancelled-IPS / Traffic Law Enforcement,09/23/2023 0138,09/23/23,2000 Block University Ave SE,THOMAS
UM 23-256220,Consuming in Public,09/23/2023 0204,09/23/23,4th St SE / 15th Ave SE,Closed - Cited
UM 23-256644,Criminal Sexual Conduct - Rape,09/16/2023 0130,09/23/23,615 Fulton St SE,FARRAR
UM 23-255085,Theft,09/21/2023 2200,09/22/23,111 Church St SE,CARLSON
UM 23-255275,Bike Theft,09/21/2023 1400,09/22/23,300 Washington Ave SE,CARLSON
UM 23-255162,Non-Vehicular Accident,09/22/2023 0825,09/22/23,116 Church St SE,Closed
UM 23-255432,Bike Theft,09/20/2023 1800,09/22/23,220 Delaware St SE,Inactive
UM 23-255511,Theft,09/20/2023 1845,09/22/23,2231 6th St SE,THOMAS
UM 23-255618,Assist Other Agency,09/22/2023 1626,09/22/23,815 11th Ave SE,Closed
UM 23-255627,Health Welfare Hold,09/22/2023 1633,09/22/23,2001 Bloomington Ave,Closed
UM 23-255670,Theft of Motor Vehicle Parts,09/18/2023 1240,09/22/23,1122 University Ave SE,Inactive
UM 23-255872,Consume Liquor by Minor / Health Welfare,09/22/2023 2012,09/22/23,516 15th Ave SE,Closed - Cited
,Hold,,
UM 23-255898,Theft by Swindle,09/22/2023 1700,09/22/23,701 Fulton St SE,HUCK
UM 23-254194,Bike Theft,09/21/2023 0842,09/21/23,123 Harvard St SE,CARLSON
UM 23-254206,Theft from Building,09/21/2023 1000,09/21/23,321 19th Ave S,FARRAR
UM 23-254222,Non-Vehicular Accident,09/21/2023 1025,09/21/23,128 Pleasant St SE,Closed
UM 23-254374,Bike Theft,09/09/2023 1030,09/21/23,123 Harvard St SE,CARLSON
UM 23-254520,Theft,09/21/2023 1000,09/21/23,421 Washington Ave SE,Closed
UM 23-254787,Mysterious Disappearance,09/20/2023 2200,09/21/23,210 Delaware St SE,Closed
UM 23-254912,Health Welfare Hold,09/21/2023 2315,09/21/23,123 Harvard St SE,Closed
UM 23-254479,Bike Theft,09/20/2023 1310,09/21/23,412 22nd Ave S,THOMAS
UM 23-252823,Crisis Intervention,09/19/2023 2121,09/20/23,1 Washington Ave SE,Closed
UM 23-253167,Warrant,09/20/2023 0949,09/20/23,Washington Ave SE / Oak St SE,Closed - Arrest
UM 23-253169,Narcotics Violation / Trespass / Warrant,09/20/2023 0945,09/20/23,412 22nd Ave S,FARRAR
UM 23-253205,Credit Card/ATM Fraud,09/19/2023 2200,09/20/23,412 22nd Ave S,Inactive
UM 23-253332,Health Welfare Hold / Crisis Intervention,09/20/2023 1329,09/20/23,1458 Cleveland Ave N,Closed
UM 23-253490,Motor Vehicle Accident Damage Report,09/20/2023 1635,09/20/23,27th Ave SE / Yale Ave,Closed
UM 23-253511,Bike Theft,09/20/2023 1030,09/20/23,412 22nd Ave S,FARRAR
UM 23-253583,Bike Theft,09/09/2023 0800,09/20/23,1060 27th Ave SE,Inactive
UM 23-253625,Damage to Motor Vehicle,09/19/2023 1900,09/20/23,1122 University Ave SE,Inactive
UM 23-253816,Warrant,09/20/2023 2139,09/20/23,257 19th Ave S,Closed - Arrest
MP 23-711154,Bike Theft,9/12/2023 18:30,09/19/23,614 Delaware St SE,MPD
MP 23-711170,Hit and Run Proporty Damage,9/14/2023 8:30,09/19/23,Beacon St & Ontario St SE,MPD
MP 23-711238,Bike Theft,9/17/2023 10:30,09/19/23,Pleasant St SE & Pillsbury Dr SE,MPD
MP 23-711145,Hit and Run Unattended Vehicle,9/6/2023 12:00,09/19/23,4th St SE & 18th Ave SE,MPD
UM 23-251949,Theft from Person,09/19/2023 0035,09/19/23,229 19th Ave S,FARRAR
UM 23-252243,Theft,09/18/2023 1302,09/19/23,269 19th Ave S,Inactive
UM 23-252288,Theft,09/18/2023 1500,09/19/23,116 Church St SE,CARLSON
UM 23-252295,Bike Theft,09/18/2023 1845,09/19/23,412 22nd Ave S,FARRAR
UM 23-252330,Bike Theft,09/17/2023 1600,09/19/23,412 22nd Ave S,Inactive
UM 23-252339,Theft,09/19/2023 1010,09/19/23,1985 Buford Ave,Inactive
UM 23-252547,Driving After Revocation,09/19/2023 1708,09/19/23,Washington Ave S / 12th Ave S,Closed - Cited
UM 23-252693,Bike Theft,09/15/2023 0900,09/19/23,1 Washington Ave SE,Inactive
UM 23-252736,Bike Theft,09/17/2023 0900,09/19/23,412 22nd Ave S,FARRAR
UM 23-252864,Careless Driving,09/19/2023 2220,09/19/23,University Ave SE / 18th Ave SE,Closed - Cited
UM 23-250865,Driving After Revocation,09/17/2023 2230,09/18/23,University Ave SE / 27th Ave SE,Closed - Cited
UM 23-250897,Warrant,09/17/2023 2308,09/18/23,225 19th Ave S,Closed - Arrest
UM 23-251101,Recovered Property,09/18/2023 0746,09/18/23,115 Union St SE,CARLSON
UM 23-251111,Bike Theft,09/18/2023 0540,09/18/23,412 22nd Ave S,FARRAR
UM 23-251162,Trespass / False Name/info / Warrant,09/18/2023 0909,09/18/23,630 Washington Ave SE,THOMAS
UM 23-251174,Theft,09/15/2023 1815,09/18/23,220 Delaware St SE,Inactive
UM 23-251198,Bike Theft,09/18/2023 0000,09/18/23,615 Fulton Ave SE,LAPP
UM 23-251340,Motor Vehicle Accident Injury Report,09/18/2023 1258,09/18/23,Pleasant St SE / Arlington St SE,CARLSON
UM 23-251486,Driving After Revocation / No Proof of,09/18/2023 1603,09/18/23,1900 Block of University Ave SE,Closed - Cited
,Insurance,,
UM 23-251488,Theft,09/18/2023 1455,09/18/23,116 Church St SE,CARLSON
UM 23-251826,Driving After Revocation,09/18/2023 2139,09/18/23,23rd Ave SE / Universty Ave SE,Closed - Cited
